Date,Open,High,Low,Close,Volume,Adj Close
1966-12-01,80.45,83.88,79.49,80.33,8400000,80.33
1966-11-01,80.20,83.01,78.89,80.45,7650500,80.45
1966-10-03,76.56,80.91,72.28,80.20,7241400,80.20
1966-09-01,77.10,80.81,75.03,76.56,6009500,76.56
1966-08-01,83.50,84.70,73.91,77.10,7440000,77.10
1966-07-01,84.74,88.19,83.05,83.60,6248000,83.60
1966-06-01,86.13,87.74,83.75,84.74,6713600,84.74
1966-05-02,91.06,91.75,83.18,86.13,8431400,86.13
1966-04-01,89.23,93.02,88.96,91.06,9669000,91.06
1966-03-01,91.22,91.65,86.69,89.23,8610800,89.23
1966-02-01,92.88,94.72,90.43,91.22,9247300,91.22
1966-01-03,92.43,94.64,91.63,92.88,9081400,92.88
1965-12-01,91.61,93.07,89.20,92.43,9013100,92.43
1965-11-01,92.42,93.30,90.81,91.61,7805000,91.61
1965-10-01,89.96,93.19,89.30,92.42,8158500,92.42
1965-09-01,87.17,91.13,86.69,89.96,7802300,89.96
1965-08-02,85.25,87.79,84.80,87.17,5192700,87.17
1965-07-01,84.12,86.47,83.30,85.25,4302300,85.25
1965-06-01,88.42,88.80,80.73,84.12,6140400,84.12
1965-05-03,89.11,90.68,87.24,88.42,5723000,88.42
1965-04-01,86.16,89.64,85.87,89.11,5919500,89.11
1965-03-01,87.43,87.93,85.65,86.16,5621700,86.16
1965-02-01,87.56,88.06,85.25,87.43,6214700,87.43
1965-01-04,84.75,88.19,83.77,87.56,5803500,87.56
1964-12-01,84.42,85.18,82.65,84.75,5021800,84.75
1964-11-02,84.86,86.80,84.10,84.42,5185700,84.42
1964-10-01,84.18,85.70,83.65,84.86,5030400,84.86
1964-09-01,81.83,84.80,81.57,84.18,5451900,84.18
1964-08-03,83.18,83.49,80.80,81.83,4077100,81.83
1964-07-01,81.69,84.33,81.46,83.18,4855000,83.18
1964-06-01,80.37,82.10,78.15,81.69,4568600,81.69
1964-05-01,79.46,81.81,79.46,80.37,5185500,80.37
1964-04-01,78.98,81.20,78.67,79.46,5871800,79.46
1964-03-02,77.80,79.89,77.50,78.98,5668000,78.98
1964-02-03,77.04,78.31,76.36,77.80,4899400,77.80
1964-01-02,75.02,77.78,74.82,77.04,5482700,77.04
1963-12-02,73.23,75.36,73.02,75.02,5018500,75.02
1963-11-01,74.01,74.44,69.48,73.23,5488800,73.23
1963-10-01,71.70,75.18,71.57,74.01,5538600,74.01
